PriID,PriRA,PriRAdeg,PriDec,PriDecdeg,PripmRA,PripmDEC,PriV,PriV-J,SecID,SecRA,SecRAdeg,SecDec,SecDecdeg,SecpmRA,SecpmDEC,SecV,SecV-J,Sep,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
PMI04099+0942E,04:09:54.30,62.47625,+09:42:58.8,9.716333333333333,0.078,-0.273,14.21,1.94,PMI04099+0942W,04:09:54.07,62.47529166666668,+09:42:56.4,9.715666666666667,0.078,-0.273,17.11,3.94,4.2,62.47527118804,9.71567628445,6.007E-4,4.557E-4,62.67,3300404435348959104,62.47562742149,0.0266,9.71442166423,0.0232,4.1167,0.0326,126.1863,293.136,79.003,0.036,-282.29,0.031,243,-1.933,201.58,0.0,1.303E-15,31,,,16,0.911,false,14709.6,5.34279,15.268365,5112.48,18.693,16.066963,14062.1,14.377769,1.304,1.689194,,,0,,,119650624755118386,,,,0.002783,0.004852,0.004302,15.268365,0.002783,14709.6,0.01,0.5732,0.4898,0.2225,0.080493
PMI04254-4601,04:25:28.74,66.36975,-46:01:23.9,-46.02330555555555,0.1,-0.124,14.51,1.67,PMI04255-4601,04:25:30.84,66.37849999999999,-46:01:22.7,-46.02297222222222,0.1,-0.124,20.24,3.83,21.9,66.37848755377,-46.02300779061,0.0039698,0.0024424,154.14,4789468463000941568,66.37903984409,0.1396,-46.02349278134,0.1609,2.4958,0.1623,15.3782,139.115,86.286,0.175,-109.123,0.229,354,0.0022,364.2,0.0,2.152E-15,31,,,26,0.999,false,562.716,1.17243,18.811644,155.093,8.39452,19.862062,636.33,17.73869,1.406,2.123373,,,0,,,,,502851506,,0.003565,0.058833,0.018869,18.811644,0.003565,562.716,0.054,2.798,3.7277,-0.3686,0.131772
PMI04325-5657N,04:32:32.44,68.13516666666668,-56:57:04.3,-56.95119444444445,0.124,-0.133,12.22,1.34,PMI04325-5657S,04:32:31.79,68.13245833333333,-56:57:14.6,-56.954055555555556,0.124,-0.133,16.81,3.16,11.6,68.13247440251,-56.95406149412,6.752E-4,5.665E-4,168.01,4775215356330828672,68.1334655547,0.0273,-56.95452055124,0.0297,5.1527,0.0292,176.4765,159.553,121.609,0.036,-103.287,0.042,340,0.5576,363.06,0.049,0.2361,31,,,26,1.021,false,7295.74,3.46016,16.029694,1945.33,10.6299,17.116056,8005.66,14.989403,1.364,2.126654,,,0,,,,,500903272,,0.002803,0.006556,0.004581,16.029694,0.002803,7295.74,0.011,0.5716,0.6708,-0.0715,0.038108
PMI04327+0820,04:32:45.59,68.18995833333335,+08:20:05.5,8.334861111111111,0.053,-0.085,14.09,1.73,PMI04327+0820-2,04:32:46.10,68.19208333333334,+08:20:14.6,8.337388888888889,0.053,-0.085,19.89,3.09,11.9,68.19218649363,8.33740891598,0.00712,0.0043793,100.6,3287240218851469440,68.1924536086,0.2738,8.33701724433,0.1076,1.9737,0.3119,6.327,106.313,59.466,0.444,-88.126,0.283,705,0.8344,773.68,0.549,1.056,95,1.3504,0.0449,18,1.022,false,341.92,0.647595,19.352556,87.4198,4.24311,20.484518,384.344,18.286095,1.38,2.198423,,,0,,,118000681923365044,1237673451091001503,,,0.003438,0.052772,0.015507,19.340255,0.003424,345.816,0.017,7.0447,4.4994,-0.1797,0.374458
PMI04332+0013,04:33:17.84,68.32433333333333,+00:13:59.8,0.23327777777777778,-0.06,-0.152,11.43,1.22,PMI04333+0014,04:33:18.67,68.32779166666668,+00:14:14.0,0.2372222222222222,-0.064,-0.14,16.85,3.51,18.9,68.32779602373,0.23724001446,8.933E-4,5.568E-4,107.68,3230604241761669888,68.32752996493,0.0408,0.23657820691,0.022,6.2826,0.0483,130.0686,160.489,-59.863,0.054,-148.907,0.037,332,2.3006,401.64,0.112,1.589,31,,,18,1.09,false,10241.7,5.40972,15.661433,2761.25,8.1818,16.735777,11154.5,14.629274,1.359,2.106503,,,0,,,108280683275974624,1237646587167768714,76259693,452012760,0.002814,0.004259,0.00405,15.661433,0.002814,10241.7,0.009,0.8678,0.5958,-0.2731,0.065945
PMI04477-3044W,04:47:42.65,71.92770833333333,-30:44:03.2,-30.734222222222225,0.157,-0.142,11.59,1.31,PMI04477-3044E,04:47:44.22,71.93425,-30:44:02.5,-30.734027777777783,0.143,-0.143,18.8,3.75,20.3,71.93424225372,-30.73407817858,0.0015187,0.0011777,141.84,4878015948316928896,71.93508207843,0.0584,-30.73473056173,0.0684,6.7589,0.0808,83.6326,218.921,162.421,0.083,-146.786,0.088,400,-0.9289,387.55,0.0,0.0,31,,,27,0.966,false,1605.52,1.53398,17.673328,313.236,7.94905,19.098864,1958.31,16.518192,1.415,2.580671,,,0,,,71110719349038697,,19330689,,0.002944,0.027694,0.005508,17.673328,0.002944,1605.52,-0.004,1.3183,1.3983,-0.2423,0.183019
NLTT14407,05:02:20.19,75.584125,-19:32:04.4,-19.534555555555556,0.527,-0.419,11.82,2.2,NLTT14408,05:02:20.95,75.58729166666667,-19:32:01.9,-19.53386111111111,0.527,-0.419,14.58,2.9,11.0,75.58718742239,-19.53378375589,2.174E-4,1.748E-4,158.47,2975937626280978304,75.58969524744,0.0092,-19.53567799199,0.0104,15.8243,0.0147,1077.104,681.499,531.784,0.011,-426.199,0.013,575,2.877,628.28,0.0,0.0,31,,,26,1.086,false,46835.5,10.3434,14.010928,12538.1,18.0248,15.092964,50966.9,12.979675,1.356,2.113289,,,0,,,84550755887498307,,22954369,,0.002766,0.003197,0.003866,14.010928,0.002766,46835.5,0.005,0.1811,0.2122,-0.1484,0.450155
PMI05137+0647W,05:13:46.03,78.44179166666666,+06:47:01.0,6.783611111111111,0.134,-0.109,11.83,0.94,PMI05137+0647E,05:13:47.17,78.44654166666666,+06:47:08.6,6.7857222222222235,0.134,-0.109,19.17,4.01,18.6,78.44656252155,6.78571863871,0.0030309,0.0020866,97.99,3240866082566982912,78.44720360375,0.1348,6.78519814204,0.0929,4.0397,0.1443,27.9974,185.016,143.233,0.186,-117.112,0.13,228,1.8177,276.49,0.324,1.073,31,,,16,1.086,false,1276.48,2.30656,17.922329,220.483,13.6259,19.480103,1550.49,16.771727,1.387,2.708376,,,0,,,116140784469362970,,,484028777,0.003382,0.067157,0.02062,17.922329,0.003382,1276.48,-0.05,3.0155,2.1089,-0.1046,0.07566
PMI05195+0903E,05:19:34.77,79.89487500000001,+09:03:46.3,9.062861111111111,0.079,-0.234,14.56,2.15,PMI05195+0903W,05:19:34.09,79.89204166666667,+09:03:36.8,9.060222222222222,0.079,-0.234,17.98,3.1,13.9,79.8920646091,9.06020753164,0.0016576,7.678E-4,114.37,3338378955632088960,79.89243382411,0.0697,9.05919068063,0.0483,3.4055,0.0854,39.8641,243.055,82.037,0.096,-228.792,0.059,454,2.4232,549.97,0.0,0.0,31,,,18,1.081,false,2640.35,1.68453,17.133211,781.582,7.88798,18.106106,2712.33,16.16454,1.323,1.941567,,,0,,,118870798923991583,,,496032233,0.002841,0.011307,0.005707,17.133211,0.002841,2640.35,-0.004,1.5428,0.9782,-0.5375,0.097208
PMI05484-3617Nn,05:48:28.64,87.11933333333333,-36:17:06.7,-36.28519444444444,0.09,-0.156,14.77,1.78,PMI05484-3617S,05:48:29.65,87.12354166666667,-36:17:19.5,-36.28875,0.09,-0.156,18.47,2.98,17.6,87.12357130507,-36.28873888155,0.0014995,0.001178,158.02,2887339666508493312,87.12406762649,0.0578,-36.28939618187,0.0731,2.7503,0.0756,36.3597,173.131,90.013,0.077,-147.892,0.09,413,0.2163,432.6,0.0,0.0,31,,,29,1.007,false,1510.45,1.36659,17.739603,421.472,10.047,18.776619,1577.14,16.753218,1.323,2.023401,,,0,,,,,19887667,,0.002925,0.026032,0.008182,17.739603,0.002925,1510.45,-0.015,1.2281,1.4587,-0.1668,0.094862
