PriID,PriRA,PriRAdeg,PriDec,PriDecdeg,PripmRA,PripmDEC,PriV,PriV-J,SecID,SecRA,SecRAdeg,SecDec,SecDecdeg,SecpmRA,SecpmDEC,SecV,SecV-J,Sep,GPRI_ra_epoch2000,GPRI_dec_epoch2000,GPRI_errHalfMaj,GPRI_errHalfMin,GPRI_errPosAng,GPRI_source_id,GPRI_ra,GPRI_ra_error,GPRI_dec,GPRI_dec_error,GPRI_parallax,GPRI_parallax_error,GPRI_pmra,GPRI_pmra_error,GPRI_pmdec,GPRI_pmdec_error,GPRI_duplicated_source,GPRI_phot_g_mean_flux,GPRI_phot_g_mean_flux_error,GPRI_phot_g_mean_mag,GPRI_phot_bp_mean_flux,GPRI_phot_bp_mean_flux_error,GPRI_phot_bp_mean_mag,GPRI_phot_rp_mean_flux,GPRI_phot_rp_mean_flux_error,GPRI_phot_rp_mean_mag,GPRI_bp_rp,GPRI_radial_velocity,GPRI_radial_velocity_error,GPRI_rv_nb_transits,GPRI_teff_val,GPRI_a_g_val,GPRI_e_bp_min_rp_val,GPRI_radius_val,GPRI_lum_val,angDist,PM_Pri_RA_error,PM_Pri_DEC_error,PM_Sec_RA_error,PM_Sec_DEC_error
NLTT14407,02:20.2,75.584125,-19:32:04.4,-19.53455556,0.527,-0.419,11.82,2.2,NLTT14408,02:20.9,75.58729167,-19:32:01.9,-19.53386111,0.527,-0.419,14.58,2.9,11,75.5841436,-19.53449261,0.008,0.007,0,2.97594E+18,75.58656135,0.23,-19.53641295,0.2478,14.2863,0.3185,529.211,0.477,-446.003,0.524,FALSE,581675,355.833,11.276665,236751,223.778,11.915658,485669,220.46,10.546069,1.369589,85.87,1.27,18,4649.29,0.0393,0.0605,0.57,0.137,0.235226,-2.211,27.003,,
PMI05137+0647W,13:46.0,78.44179167,+06:47:01.0,6.783611111,0.134,-0.109,11.83,0.94,PMI05137+0647E,13:47.2,78.44654167,+06:47:08.6,6.785722222,0.134,-0.109,19.17,4.01,18.6,78.44181505,6.783586995,0.002,0.001,90,3.24087E+18,78.4424372,0.0613,6.783084479,0.0463,4.1178,0.051,143.487,0.117,-116.713,0.077,FALSE,282399,62.2765,12.061206,146464,225.852,12.437063,196855,132.36,11.526554,0.910509,83.65,0.97,6,5459,0.118,0.061,0.92,0.675,0.120523,-9.487,7.713,,
PMI05195+0903E,19:34.8,79.894875,+09:03:46.3,9.062861111,0.079,-0.234,14.56,2.15,PMI05195+0903W,19:34.1,79.89204167,+09:03:36.8,9.060222222,0.079,-0.234,17.98,3.1,13.9,79.89490769,9.062868174,0.001,0.001,90,3.33838E+18,79.89526524,0.0259,9.061883754,0.0206,3.3443,0.0279,82.007,0.05,-228.639,0.038,FALSE,48934.1,13.1988,13.964335,22570.4,58.6434,14.467542,38348,30.1824,13.302563,1.164979,,,0,4883.53,0.0398,0.0233,0.62,0.196,0.118961,-3.007,-5.361,,
PMI05484-3617Nn,48:28.6,87.11933333,-36:17:06.7,-36.28519444,0.09,-0.156,14.77,1.78,PMI05484-3617S,48:29.7,87.12354167,-36:17:19.5,-36.28875,0.09,-0.156,18.47,2.98,17.6,87.11937741,-36.28518434,0.001,0,0,2.88734E+18,87.1198574,0.0132,-36.28582088,0.0174,2.8027,0.0169,89.862,0.028,-147.841,0.035,FALSE,32529.3,7.71644,14.40768,15351.5,19.6493,14.88601,24913.2,29.6059,13.770845,1.115165,,,0,4908,0.1217,0.044,0.59,0.184,0.132983,0.138,-8.159,,
PMI06032+1921N,03:14.9,90.81195833,+19:21:38.6,19.36072222,0.667,-0.623,9.32,1.32,PMI06032+1921S,03:14.5,90.81045833,+19:21:34.0,19.35944444,0.659,-0.609,13.51,2.92,6.9,90.81193121,19.36074785,0.003,0.003,90,3.37463E+18,90.81498175,0.102,19.35807102,0.0989,14.4036,0.1174,668.447,0.194,-621.721,0.164,FALSE,4184080,1553.77,9.134365,2211110,4702.73,9.489862,2812730,4451.78,8.6391,0.850762,,,0,5582.37,0.017,0.0118,0.96,0.808,0.130376,-1.447,-1.279,,
PMI06050+0723S,05:03.5,91.26466667,+07:23:30.5,7.391805556,-0.199,-0.098,14.94,2.17,PMI06050+0723N,05:03.4,91.264125,+07:23:39.1,7.394194444,-0.199,-0.098,16.83,2.99,8.8,91.26468459,7.391813312,0.001,0.001,90,3.32241E+18,91.26387221,0.0369,7.391388914,0.0312,6.1093,0.0392,-187.113,0.078,-98.57,0.069,FALSE,22434.4,14.0121,14.811079,7375.34,26.7036,15.681933,22124.4,43.4229,13.899743,1.78219,,,0,4058.67,0.1,0.055,,,0.069807,-11.887,0.57,,
PMI06394-3030E,39:24.5,99.85216667,-30:30:50.9,-30.51413889,0.04,0.183,14.73,2.16,PMI06394-3030W,39:24.0,99.850125,-30:30:55.3,-30.51536111,0.04,0.183,16.17,2.48,7,99.85220992,-30.51412253,0.004,0.003,0,2.89423E+18,99.85245846,0.0998,-30.51347969,0.1246,7.4423,0.146,49.731,0.219,149.305,0.231,TRUE,24165.2,53.8758,14.730392,8292.75,17.9995,15.554642,25496.6,34.6839,13.745713,1.808929,,,0,4169.88,0.067,0.044,,,0.146496,-9.731,33.695,,
PMI06436+0851,43:36.6,100.9022917,+08:51:44.4,8.862333333,0.069,-0.055,13.79,2.09,PMI06436+0851-2,43:35.9,100.8995,+08:51:40.8,8.861333333,0.084,-0.065,18.67,3.54,10.5,100.9023207,8.86233805,0.002,0.002,90,3.13444E+18,100.9026186,0.0781,8.862048412,0.0815,4.1629,0.1026,68.365,0.148,-67.271,0.126,FALSE,66460.1,18.234,13.631963,24606.6,65.4789,14.373761,60692.8,79.8987,12.804076,1.569685,,,0,4322,,,0.82,0.21,0.104747,0.635,12.271,,
PMI08152-6337,15:17.6,123.8233333,-63:37:18.4,-63.62177778,-0.152,0.24,12.22,2.26,PMI08153-6337,15:18.0,123.825125,-63:37:04.5,-63.61791667,-0.152,0.24,16.74,3.5,14.2,123.8233891,-63.62177945,0.001,0.001,0,5.27726E+18,123.8222182,0.025,-63.62069758,0.0286,11.9872,0.0271,-120.83,0.048,251.274,0.051,FALSE,407961,148.386,11.661819,160986,161.606,12.334418,350529,203.097,10.900109,1.434309,27.11,0.68,17,4528.83,0.0195,0.0117,0.61,0.142,0.089442,-31.17,-11.274,,
PMI08239-7549W,23:54.9,125.9789167,-75:49:34.3,-75.82619444,-0.045,0.202,11.06,1.53,PMI08239-7549E,23:58.5,125.9939167,-75:49:32.4,-75.82566667,-0.03,0.216,16.53,3.3,13.3,125.9790003,-75.82622614,0.001,0.001,90,5.21063E+18,125.9781796,0.0243,-75.8253761,0.0268,9.9039,0.031,-46.675,0.05,197.427,0.046,FALSE,909986,280.33,10.790779,438257,552.473,11.247067,662988,877.995,10.208156,1.038911,13.12,0.22,9,5150.57,0.033,0.0135,0.79,0.393,0.135858,1.675,4.573,,
PMI08386-3856,38:36.7,129.653,-38:56:55.7,-38.94880556,0.101,-0.126,12.65,1.92,PMI08386-3857,38:37.7,129.6572083,-38:57:14.4,-38.954,0.101,-0.126,17.42,3.57,22,129.6529665,-38.94883196,0.001,0.001,90,5.52909E+18,129.6533266,0.0222,-38.94927521,0.0263,6.7101,0.0334,65.042,0.046,-102.946,0.045,FALSE,253633,37.5867,12.177852,116228,144.144,12.688108,195348,206.722,11.534897,1.153211,20.25,0.92,7,4914.22,0.0992,0.056,0.69,0.251,0.13359,35.958,-23.054,,
PMI09502+0509E,50:13.9,147.557875,+05:09:02.4,5.150666667,0.21,-0.22,11.8,1.61,PMI09502+0509W,50:12.9,147.5537083,+05:09:08.2,5.152277778,0.217,-0.216,18.66,4.09,16,147.5579683,5.150616709,0.001,0.001,0,3.8499E+18,147.5589044,0.0522,5.149670864,0.0528,8.7009,0.0589,216.539,0.087,-219.681,0.092,FALSE,477460,175.642,11.491023,230386,296.064,11.94525,352298,440.075,10.894646,1.050604,-26.23,1,7,5007.67,0.011,0.0075,0.7,0.275,0.379667,-6.539,-0.319,,
PMI10105+1203W,10:34.8,152.6449167,+12:03:17.6,12.05488889,-0.185,-0.078,12.53,1.55,PMI10105+1203E,10:35.2,152.6465417,+12:03:22.9,12.05636111,-0.185,-0.078,18.23,3.86,7.8,152.6449685,12.05487756,0.001,0.001,0,3.88075E+18,152.6441008,0.0543,12.05447575,0.0512,4.7891,0.0578,-197.097,0.091,-93.325,0.091,FALSE,218510,35.6263,12.339686,106173,177.879,12.786348,161831,126.274,11.739265,1.047083,51.35,3.46,3,5255.5,0.119,0.059,0.76,0.397,0.186996,12.097,15.325,,
PMI10520+1521N,52:02.2,163.009,+15:21:18.6,15.35516667,0.134,-0.15,16.23,2.37,PMI10520+1521S,52:01.6,163.006875,+15:21:09.5,15.35263889,0.134,-0.15,18.46,3.34,11.7,163.0089595,15.35519023,0.002,0.001,90,3.98131E+18,163.0095221,0.0581,15.35452673,0.0397,2.6513,0.0509,126.015,0.143,-154.103,0.089,FALSE,10608.9,7.43605,15.624192,4179.57,18.7252,16.298557,9392.11,37.2946,14.830012,1.468545,,,0,4430.25,0.177,0.076,,,0.164276,7.985,4.103,,
PMI11110-4414,11:04.1,167.7670417,-44:14:15.9,-44.23775,-0.134,-0.32,12.97,1.56,PMI11109-4416,10:57.8,167.7409583,-44:16:31.1,-44.27530556,-0.152,-0.306,16.24,2.83,151,167.7670695,-44.23775355,0.001,0.001,90,5.38861E+18,167.7661936,0.0211,-44.2390884,0.0202,5.449,0.029,-145.749,0.044,-310.027,0.042,FALSE,164163,34.5738,12.650178,82481.7,85.4137,13.060494,118315,78.655,12.07932,0.981174,20.41,1.37,21,5332,0.0493,0.027,0.56,0.228,0.07295,11.749,-9.973,,
PMI11125-3512,12:30.1,168.1252917,-35:12:35.0,-35.20972222,-0.115,-0.113,15.31,2.2,PMI11124-3512,12:28.9,168.1205,-35:12:36.0,-35.21,-0.115,-0.113,18.52,3.3,14.1,168.1253047,-35.20965216,0.001,0.001,90,5.40065E+18,168.1249579,0.0258,-35.20978693,0.0249,1.9539,0.0452,-65.809,0.045,-31.301,0.038,TRUE,22913.2,5.60262,14.788152,9692.13,16.4384,15.38534,19135.3,12.1997,14.057334,1.328006,,,0,4863.41,0.62,0.3043,0.73,0.27,0.255101,-49.191,-81.699,,
